date,latitude,longitude,depth,mag,id
20150328,36.8513,-97.6991,6.477,3.1,us10001rfw
20150329,43.7316,-105.2922,0,3.3,us10001rvm
20150329,35.8139,-97.4515,6.7,3,us10001rqm
20150330,36.3569,-97.0974,5,3,us10001s1b
20150330,34.7911667,-116.2611667,2.912,4.04,ci37352384
20150330,36.112,-97.232,5.147,3,us10001rxt
20150330,36.1145,-97.2318,5.499,3.1,us10001rxs
20150331,36.921,-97.7934,2.634,3,us10001sei
20150331,36.6028,-97.6158,2.713,3.4,us10001scb
20150331,36.3262,-97.5257,2.554,3,us10001scn
20150331,36.784,-98.0176,6.37,3,us10001s8l
20150401,36.5967,-97.6077,6.13,3.1,us10001t9g
20150401,36.122,-97.5648,5.459,3.2,us10001svl
20150401,43.5229,-105.2077,0,3.4,us10001srq
20150402,30.7226667,-114.1773333,5.961,3.46,ci37355128
20150402,32.8588,-96.9356,7.67,3.3,us10001tg3
20150402,43.7761,-105.263,0,3.3,us10001tc2
20150402,46.1186,-106.7683,0,3,us200025mf
20150402,32.4093333,-115.211,8.361,3.49,ci37354952
20150402,43.8092,-105.2552,0,3.1,us200025md
20150402,41.8729,-119.6432,9.6,3,nn00489054
20150402,37.792,-121.9868333,9.89,3.61,nc72424876
20150402,36.1186,-97.5638,5.428,3.4,us10001t4b
20150402,36.0505,-89.826,10.38,3.6,nm60096021
20150402,36.1193,-97.5614,4.842,3.3,us10001t09
20150402,36.7753,-98.0307,5.301,3.5,us10001szu
20150402,36.5989,-97.605,5.824,3.1,us10001sze
20150403,36.6888,-97.6795,5.977,3.4,us10001tql
20150403,36.4872,-98.1516,6.912,3.3,us10001tq1
20150403,44.1606,-105.6165,0,3.1,us200025pj
20150403,36.4876,-98.1637,5.599,3.2,us10001thb
20150404,35.9529,-96.7804,4.48,3,us10001u7c
20150404,34.3253333,-118.5538333,5.932,3.13,ci37356432
20150404,36.1176,-97.5717,5.047,4.1,us10001txk
20150404,36.3284,-97.5268,6.828,3,us10001twi
20150404,36.3308,-97.5282,6.088,3.4,us10001tw3
20150404,36.1166,-97.5719,5,3.3,us10001tuv
20150404,36.5113,-99.0518,9.772,3.2,us10001tug
20150404,36.1163,-97.5638,5.268,3.7,us10001trx
20150404,36.9384,-97.634,4.713,3,us10001tuc
20150404,36.9402,-97.6337,5.394,3.4,us10001trn
20150404,31.1566,-103.2372,5,3.3,us10001trl
20150405,43.9043,-105.3867,0,3,us10001u69
20150405,43.7856,-105.2798,0,3.5,us10001u5n
20150405,36.4674,-97.322,7.305,3.2,us10001u3f
20150405,36.5043,-97.1452,6.907,3.1,us10001u2c
20150406,43.7558,-105.2318,0,3.3,us10001v5c
20150406,31.2277,-115.88,5,3.6,us10001v3f
20150406,41.6327,-108.5821,0,3.1,us10001ug6
20150406,36.6331,-97.6504,6.364,3.1,us10001ud4
20150406,36.6338,-97.6574,5.226,3.9,us10001uc6
20150406,36.5112,-99.0454,8.848,3.2,us10001uai
20150406,37.0546,-98.0244,7.41,3,us10001u8k
20150407,36.5024,-97.1509,6.822,3,us200024v1
20150407,36.8895,-98.1974,4.651,3.3,us200024u6
20150407,36.3306,-97.525,6.866,3.5,us10001vfd
20150407,36.3699,-97.8308,5.734,3.1,us10001v9s
20150407,39.8297,-115.4867,6.7,3,nn00490088
20150408,35.8192,-97.4191,2.487,4,us2000255v
20150408,35.8219,-97.424,4.722,3.1,us2000255s
20150408,43.8038,-105.2482,0,3.3,us20002540
20150408,32.4111667,-115.2448333,5.951,4.03,ci37359312
20150408,32.376,-115.2085,7.281,4.27,ci37359304
20150408,39.3606667,-120.0208333,-0.681,3.41,nc72428161
20150408,36.266,-97.2674,4.852,3,us200024xj
20150408,36.1867,-97.0295,4.65,3.2,us200024ww
20150408,36.2826,-97.5171,2.723,3,us200024wv
20150409,43.416,-105.3007,0,3.2,us2000270s
20150409,36.1254,-97.5508,5,3,us200025f1
20150409,43.7776,-105.261,0,3.5,us200025e1
